--- Telegram Scrape Report ---
Timestamp: 2026-06-10 00:59:02
Total Channels: 117
Successful Scrapes: 66
Failed Scrapes: 0

--- Channels with Found Configs ---
configV2rayNG: 263 configs
configfa: 180 configs
LonUp_M: 180 configs
V2rayNG3: 165 configs
oneclickvpnkeys: 137 configs
Outline_Vpn: 116 configs
FreakConfig: 114 configs
ViProxys: 100 configs
V2ray_Alpha: 63 configs
v2rayngvpn: 62 configs
v2Source: 56 configs
proxy_mtm: 50 configs
fastfreeconfig: 50 configs
yaney_01: 41 configs
dailyv2ray: 40 configs
OutlineReleasedKey: 33 configs
ShadowsocksM: 29 configs
V2RAYROZ: 29 configs
golestan_vpn: 28 configs
DarkVPNpro: 24 configs
v2ngfast: 21 configs
FreeV2rays: 20 configs
v2nodes: 20 configs
Farah_VPN: 20 configs
free4allVPN: 19 configs
V2rayNG_Outlinee: 19 configs
FreeVPNHomesConfigs: 19 configs
proxy_kafee: 19 configs
v2ray_configs_pool: 19 configs
vpnstorefast: 18 configs
freedom_config: 18 configs
freedomofinfor: 17 configs
hopev2ray: 17 configs
An0nymousTeam: 15 configs
v2rayvpnchannel: 15 configs
tehranargo: 15 configs
PrivateVPNs: 14 configs
v2ray_for_free: 14 configs
freeconfigsplus: 14 configs
vpnfail_vless: 12 configs
CaV2ray: 12 configs
vpn_ocean: 10 configs
freev2raym: 9 configs
Network_442: 8 configs
vpnaloo: 8 configs
iraniv2ray: 8 configs
ISVvpn: 7 configs
ArV2ray: 7 configs
VmessProtocol: 6 configs
redfree8: 6 configs
xroVPN: 5 configs
configV2rayForFree: 4 configs
ConfigWireguard: 4 configs
proSSH: 4 configs
v2rayngconfig: 4 configs
v2rayfree: 4 configs
AzadNet: 3 configs
bypass_filter: 3 configs
Ahmedhamoomi_Servers: 2 configs
GrizzlyVPN: 2 configs
shadowproxy66: 2 configs
v2rayng_1378: 2 configs
freeland8: 1 configs
ev2rayy: 1 configs
v2raymelliii: 1 configs
blueshekan: 1 configs

--- Failed Channels ---
